"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","~","Buzzer_Beeper:Buzzer_12x9.5RM7.6","1",""
"C1","0.01u","~","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","1",""
"C2","100u","~","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","1",""
"D1","LED","~","LED_THT:LED_D3.0mm","1",""
"D2","5.1v 400mW","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"J1","+12v","~","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","1",""
"R1","4.7k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R2","22K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"RV1","R_Potentiometer","~","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","1",""
"RV2","100K","~","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","1",""
"TH1","Thermistor","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"U1","LM741","http://www.ti.com/lit/ds/symlink/lm741.pdf","Package_DIP:DIP-8-16_W7.62mm","1",""
"U2","NE555D","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
